,group_id,average,count,std,min,Q1,Q2,Q3,max
56,2269.csv,670.4199964075001,20.0,157.87326460455236,472.44,511.75,687.6055,799.211,964.56692815
57,3177.csv,1000.0,1.0,,1000.0,1000.0,1000.0,1000.0,1000.0
58,11430.csv,390.4575925685143,35.0,265.393924710565,39.3700787,198.42519675,314.9606296,575.27559025,1259.8425184
59,4618.csv,916.6666666666666,6.0,256.2550812504343,600.0,725.0,900.0,1150.0,1200.0
60,3611.csv,844.4881888799998,10.0,982.4967026269857,150.0,400.0,400.0,542.913385375,3000.0
61,11356.csv,1169.0967372771568,115.0,4691.178776774259,23.622,228.14960606649998,450.0,820.0,46850.393653
62,10048.csv,1870.61,4.0,3002.142149932278,50.0,366.83,536.22,2040.0,6360.0
63,5260.csv,1307.661417025,6.0,685.1534702066929,708.6614166,846.0,1013.653542775,1693.3267713875,2400.0
64,12887.csv,338.58213116666667,3.0,225.33939440876645,196.8503935,208.66119675,220.472,409.448,598.424
65,6769.csv,542.7662991221714,105.0,732.4295358292338,1.0,400.0,450.0,480.0,5400.0
66,1006.csv,786.0329103131818,22.0,498.3832560435183,150.0,402.5,673.227,1082.8735,2400.0
67,592.csv,1125.800468642763,76.0,3394.9670979327566,39.3700787,452.7556787875,600.0,905.25,30000.0
68,7477.csv,174.0731157285714,7.0,125.57158162755992,39.3700787,70.8700787,196.8503935,223.42519675,393.700787
69,8744.csv,884.4285707,7.0,1063.4814529088462,39.3700787,78.7401574,591.0,1500.78740035,2401.5748007
70,4156.csv,490.2755904625,12.0,305.67310185379534,39.3700787,211.61417301249998,595.27559025,725.0,840.0
71,3639.csv,1224.19527545,10.0,545.0434304095127,50.0,1085.75,1377.97637725,1400.0,2106.0
72,10060.csv,1068.3333333333333,3.0,968.5083031824421,5.0,652.5,1300.0,1600.0,1900.0
73,2527.csv,6142.417680713628,338.0,11551.448190338966,3.937,646.85,3795.1338563,7874.01574,106299.0
74,5248.csv,442.87327743874994,48.0,368.2921147335007,10.0,228.34645646,336.3225,560.137795125,2400.0
75,9472.csv,1039.368,1.0,,1039.368,1039.368,1039.368,1039.368,1039.368
76,6741.csv,39.3700787,1.0,,39.3700787,39.3700787,39.3700787,39.3700787,39.3700787
77,6999.csv,634.4229250814697,66.0,614.7439038699043,39.3700787,303.7401574,445.0,813.828739525,3503.9370043
78,12677.csv,70.65350000000001,2.0,38.673791183435846,43.307,56.98025,70.65350000000001,84.32675,98.0
79,1990.csv,437.8615483616666,24.0,271.27472803833876,125.0,255.90551155,403.53543285,510.452755775,1417.0
80,7339.csv,8231.746828345167,33.0,29088.50583010826,39.3700787,393.700787,750.0,1060.0,120905.5116877
81,12111.csv,3200.0,1.0,,3200.0,3200.0,3200.0,3200.0,3200.0
82,1748.csv,1641.6666666666667,3.0,330.0883720056393,1350.0,1462.5,1575.0,1787.5,2000.0
83,9314.csv,650.0,1.0,,650.0,650.0,650.0,650.0,650.0
84,6027.csv,995.3463849330001,30.0,393.088037447023,236.2204722,866.1417314,974.4094478249999,1161.4173216499998,2510.0
85,10706.csv,2463.5625,16.0,5049.3331040676385,31.0,183.75,510.0,1417.5,19200.0
86,2241.csv,1510.0,5.0,1716.9740825067804,50.0,300.0,500.0,2900.0,3800.0
87,11418.csv,1145.0,2.0,77.78174593052023,1090.0,1117.5,1145.0,1172.5,1200.0
88,4630.csv,1563.0367444274168,12.0,638.3351229693181,39.3700787,1335.4330705749999,1649.21259761,1968.503935,2559.0
89,10712.csv,5980.511805,2.0,8245.588870207434,150.0,3065.2559025,5980.511805,8895.7677075,11811.02361
90,2255.csv,598.2513627038462,13.0,164.84563570531222,196.8503935,500.0,610.0,700.0,830.0
91,4624.csv,1401.5744963444445,9.0,672.2315474627535,700.0,925.0,1377.95,1771.6535415,2800.0
92,1984.csv,1219.1666666666667,6.0,613.8763447687708,470.0,693.75,1425.0,1537.5,1970.0
93,12105.csv,2600.0,6.0,1915.202339179858,100.0,1025.0,3550.0,3900.0,4200.0
94,9300.csv,156.0,2.0,79.19595949289332,100.0,128.0,156.0,184.0,212.0
95,6033.csv,699.1714392254426,226.0,219.9253935604647,50.0,592.75,655.5,826.77,1760.0
96,9466.csv,1450.0,2.0,247.48737341529164,1275.0,1362.5,1450.0,1537.5,1625.0
97,6755.csv,1267.0723640820781,77.0,1331.2640222196183,157.48,472.4409444,708.6614166,1299.0,6496.0629855
98,8778.csv,420.0,1.0,,420.0,420.0,420.0,420.0,420.0
99,4142.csv,604.7734842253489,43.0,799.2427609543723,39.3700787,354.3307083,354.3307083,605.118109925,5511.811018
100,10074.csv,1372.8333386092236,76.0,1707.91408573337,30.0,590.5511805,846.45669205,1387.8307083,12990.0
101,747.csv,540.5480126582278,79.0,93.52574728157354,38.0,500.0,550.0,559.0,1150.0
102,8591.csv,743.307086213,4.0,634.1628845414155,39.3700787,305.118109925,766.929133076,1205.118109364,1400.0
103,9857.csv,1368.1752843421054,19.0,1144.923449255486,100.0,450.78725,1000.0,1850.0,3700.0
104,11183.csv,348.6726657714286,21.0,141.20463788400707,157.4803148,200.0,390.0,450.0,590.5511805
105,2902.csv,393.7,1.0,,393.7,393.7,393.7,393.7,393.7
106,11197.csv,800.0,1.0,,800.0,800.0,800.0,800.0,800.0
107,2916.csv,1549.67756340797,18506.0,7576.14312556989,9.0,787.401574,1181.1,1338.5826758,314960.0
108,10289.csv,488.0662272601345,210.0,484.85129519911607,39.3700787,200.0,354.3307083,649.9015746375001,3900.0
109,753.csv,549.75,4.0,42.14558102577303,493.0,535.75,556.0,570.0,594.0
110,8585.csv,63.9763778875,2.0,76.55683646769965,9.842519675,36.90944878125,63.9763778875,91.04330699375,118.1102361
111,9843.csv,4730.913078465384,26.0,20414.004813563886,39.3700787,531.49606245,590.5511805,590.5511805,104763.7794207
112,11829.csv,300.0,1.0,,300.0,300.0,300.0,300.0,300.0
113,1589.csv,586.8867773941222,1620.0,1180.8785582995035,2.0,300.0,390.0,590.5511805,39370.0
114,2080.csv,629.9212592,1.0,,629.9212592,629.9212592,629.9212592,629.9212592,629.9212592
115,11801.csv,793.2135231000001,8.0,1277.0699925198041,157.4803148,227.165,420.0,481.25,3937.00787
116,5937.csv,351.75,4.0,187.1156059766261,100.0,292.75,378.5,437.5,550.0
117,4397.csv,700.0,1.0,,700.0,700.0,700.0,700.0,700.0
118,5089.csv,19.685,1.0,,19.685,19.685,19.685,19.685,19.685
119,7846.csv,686.4758150634286,7.0,350.21256487036936,296.0,452.75590505,615.0,834.960629447,1318.89763645
120,6580.csv,2212.7382296685187,27.0,3379.83555146648,100.0,738.188975625,1650.0,2310.0,18000.0
121,7852.csv,1087.2222222222222,9.0,364.05246111576344,527.0,900.0,1000.0,1250.0,1700.0
122,6594.csv,1885.6954845110781,29.0,1744.6886299030102,110.0,900.0,1614.1732267,2300.0,8400.0
123,4383.csv,2200.0,2.0,2262.741699796952,600.0,1400.0,2200.0,3000.0,3800.0
124,2094.csv,980.5367453666668,6.0,745.438831481277,197.0,302.16535415,1025.0,1587.5,1800.0
125,11815.csv,439.5835012755282,142.0,473.59430945382934,39.3700787,236.055,334.44881873500003,506.358267325,4500.0
126,5923.csv,5300.0,1.0,,5300.0,5300.0,5300.0,5300.0,5300.0
127,6219.csv,705.7420222038096,105.0,274.9507807462379,50.0,590.55,675.0,827.0,2799.207
128,1576.csv,867.838014986207,29.0,1147.610255613889,39.3700787,196.85,472.4409444,866.14,4960.62
129,13031.csv,360.4179208959231,13.0,165.66078994276097,47.244,314.9606296,314.9606296,472.4409444,708.6614166
130,8234.csv,745.27559025,2.0,218.81335869862195,590.5511805,667.913385375,745.27559025,822.637795125,900.0
131,7107.csv,3059.9073640647057,17.0,5793.526076110068,826.7716527,1180.0,1800.0,2125.9842498,25440.0
132,11626.csv,29647.881882124104,10.0,69458.18455537863,201.968503731,727.5,955.0,1150.0,216000.0
133,3361.csv,704.72440873,5.0,147.5721637391718,590.5511805,590.5511805,610.23621985,866.1417314,866.1417314
134,10538.csv,2275.7581059900003,10.0,589.5142342002442,1082.675,1953.6799999999998,2391.045,2674.605,3031.4960599
135,5710.csv,1770.3406666666667,3.0,1418.7033615810367,811.022,955.511,1100.0,2250.0,3400.0
136,5076.csv,328.6575155080481,52.0,230.6002645552252,2.755905509,118.1102361,307.48,545.275589995,813.9763771225
137,2719.csv,39.3700787,1.0,,39.3700787,39.3700787,39.3700787,39.3700787,39.3700787
138,11140.csv,906.0,1.0,,906.0,906.0,906.0,906.0,906.0
139,3407.csv,307.0568569045,20.0,311.96771191693597,102.362,172.2438287,196.8503935,305.118109925,1523.619
140,4368.csv,1073.3333333333333,3.0,110.15141094572203,1000.0,1010.0,1020.0,1110.0,1200.0
141,7661.csv,1765.36443918,15.0,1145.5388581064774,393.700787,740.0,1377.9527545,3025.0,3300.0
142,9894.csv,370.0,1.0,,370.0,370.0,370.0,370.0,370.0
143,12449.csv,858.1363055333333,6.0,530.7544495402083,200.0,575.78660415,708.6614166,1302.16535415,1500.0
144,1210.csv,990.8484205981052,57.0,1351.814553452849,39.3700787,393.700787,787.401574,1181.102361,9882.0
145,784.csv,544.2495174129353,201.0,68.3675404545969,51.181,520.0,550.0,559.0,1200.0
146,948.csv,3206.8082339803495,86.0,1595.9730426727772,19.685,1683.070864425,4032.8740137,4330.708657,5118.110231
147,7675.csv,1900.1564467500002,8.0,2351.1056265155944,787.401574,800.0,1188.975,1377.95,7680.0
148,9880.csv,71951.2676667,4.0,92357.35924273352,600.0,1479.0,45886.0,116358.2676667,195433.0706668
149,790.csv,578.2337777777778,18.0,156.69594165980686,475.0,512.0,559.027,562.75,1188.974
150,1204.csv,1243.6758519840835,12.0,1066.4915923779595,334.64566895,590.5511805,748.0314953,1687.89369906575,3543.307083
151,9658.csv,409.44881848,11.0,183.31412149526864,39.3700787,354.3307083,393.700787,433.0708657,826.7716527
152,5062.csv,1400.0,1.0,,1400.0,1400.0,1400.0,1400.0,1400.0
153,11154.csv,839.8061916954546,22.0,363.606618927874,39.3700787,773.5,813.38582635,896.5,2047.0
154,3413.csv,1190.7965945583637,2545.0,1600.1247973420514,1.0,787.401574,1180.0,1417.3228332,74803.0
155,11632.csv,100.0,1.0,,100.0,100.0,100.0,100.0,100.0
156,3375.csv,954.9278783763682,629.0,778.5173149908059,4.0,551.1811018,696.85039299,1200.0,7480.0
157,1562.csv,717.2070011217307,182.0,942.2701226999103,35.0,314.9606296,472.0,763.2874009875,9842.519675
158,13025.csv,432.02099720666666,3.0,55.46199407096776,400.0,400.0,400.0,448.03149581,496.06299162
159,8220.csv,485.7275,2.0,510.14572282094065,125.0,305.36375,485.7275,666.0912500000001,846.455
160,7113.csv,763.5059092731037,87.0,730.280730455676,39.3700787,450.0,590.5511805,803.5,5000.0
161,4432.csv,3582.147506133333,3.0,3088.0220582175803,1259.8425184,1829.9212592,2400.0,4743.3,7086.6
162,2043.csv,1115.5227670447803,131.0,986.8938660728863,1.082675,415.0,600.0,1721.4566920500001,4300.0
163,10504.csv,2064.3691515463042,276.0,1121.1388908994816,47.244,1181.102361,2322.8346433,3000.0,7086.6
164,6225.csv,670.361394477922,231.0,160.5920275693933,33.0,600.0,650.0,799.211,984.25
165,9116.csv,716.53543285,2.0,400.8794353157489,433.0708657,574.803149275,716.53543285,858.267716425,1000.0
166,12313.csv,608.8793953488372,43.0,313.180705459867,25.0,525.0,600.0,800.0,1470.0
167,960.csv,596.645213226,10.0,269.7679552394516,149.60629906,418.11,595.27559025,814.8027500000001,1007.872
168,12475.csv,623.6486331958763,97.0,131.49696326606232,50.0,575.0,600.0,633.0,996.061
169,7885.csv,3191.939295747059,17.0,5018.9085879062595,201.0,300.0,590.5511805,1060.0,12559.0551053
170,6543.csv,1635.063841318367,335.0,2180.402424700612,39.3700787,590.5511805,866.14,1496.0614953,18110.2
171,9670.csv,2172.4577515515384,52.0,2288.3326747333163,39.3700787,928.6614165999999,1771.6535414999998,2716.5354303,14400.0
172,2725.csv,4041.835381730645,62.0,3085.33226029213,100.0,708.0705,4750.0,7086.614166,7200.0
173,10262.csv,1945.3399164918148,189.0,4244.008435337376,39.37,1338.5826758,1653.5433054,1950.0,59055.0
174,4354.csv,4871.062991875,4.0,3099.985658691059,984.2519675,3171.062991875,5250.0,6950.0,8000.0
175,2731.csv,742.3238571428572,14.0,715.6458584043945,90.0,349.25,664.96,796.85,2999.994
176,10276.csv,577.1190843697868,840.0,453.33092236265503,25.0,393.700787,475.0,590.5511805,7200.0
177,11168.csv,1052.8677587193308,142.0,1383.8838285121362,10.0,395.27559025,700.0,1128.5,7870.0
178,4340.csv,344.7625783794915,59.0,271.4836574512226,39.3700787,100.0,275.5905509,545.0,1000.0
179,7649.csv,570.86614115,4.0,447.15813700848713,236.2204722,236.2204722,433.0708657,767.71653465,1181.102361
180,974.csv,496.6863514374167,12.0,241.65686896501947,150.0,311.2204722,545.27559025,619.98031478725,984.2519675
181,12461.csv,530.6521216571429,14.0,242.17288570827293,39.37,413.38582635,545.27509025,620.078739525,944.8818888
182,7891.csv,443.0,3.0,51.44900387762624,400.0,414.5,429.0,464.5,500.0
183,1238.csv,501.1529214592105,38.0,339.19319733864216,39.3700787,244.66535414999998,433.03543285,625.0,1640.0
184,6557.csv,1624.609125103158,19.0,1964.5504150825734,330.0,708.6614166,925.19684945,1425.0,8760.0
185,9664.csv,1825.0,2.0,1803.1222920256962,550.0,1187.5,1825.0,2462.5,3100.0
186,6231.csv,687.7660467290781,141.0,175.52664704829854,75.0,600.0,675.0,826.77,1098.423
187,9102.csv,310.0,1.0,,310.0,310.0,310.0,310.0,310.0
188,13019.csv,641.73228281,5.0,376.2366712845732,118.1102361,610.23621985,649.60629855,649.60629855,1181.102361
189,12307.csv,551.1805771333334,3.0,258.16615067452767,275.5905509,433.0708657,590.5511805,688.97559025,787.4
190,4426.csv,2827.8768485319997,25.0,4647.971922298497,39.3700787,600.0,1181.102361,3500.0,23622.04722
191,3349.csv,225.06007771052631,19.0,257.87394818296525,23.622,40.0,50.0,590.5511805,590.5511805
192,2057.csv,929.656307019026,154.0,1484.6006897623517,10.0,393.700787,615.118109925,1115.5905509,17280.0
193,10510.csv,558.5318055555556,36.0,96.57256607245276,149.606,521.25,575.0,600.0,850.0
194,11791.csv,490.0,2.0,296.98484809834997,280.0,385.0,490.0,595.0,700.0
195,11949.csv,1515.74802995,2.0,361.90504512003474,1259.8425184,1387.795274175,1515.74802995,1643.700785725,1771.6535415
196,155.csv,629.9903874807561,760.0,161.57271590251645,23.622,583.0,600.0,625.0,2000.0
197,13186.csv,572.9485874847369,19.0,340.2166172168364,59.05511805,320.866141405,557.0,793.0,1259.8425184
198,8383.csv,5270.181136460869,23.0,3200.74980815437,1181.102361,3075.0,4100.0,7500.0,11100.0
199,12298.csv,703.6807619047619,21.0,182.48144134812856,75.0,661.416,737.5,750.0,1062.99
200,9923.csv,965.0,1.0,,965.0,965.0,965.0,965.0,965.0
201,633.csv,670.3121814039412,17.0,333.943762787967,100.0,472.4409444,700.0,976.0,1141.7322823
202,2876.csv,1010.7005668145349,86.0,393.50071086851517,39.3700787,807.085,1059.0529999999999,1259.84,2300.0
203,2862.csv,709.3602361000001,4.0,268.7363439669527,472.4409444,493.1102361,670.0,886.25,1025.0
204,9937.csv,1950.0,1.0,,1950.0,1950.0,1950.0,1950.0,1950.0
205,627.csv,520.8260166002779,36.0,302.93836729798727,16.0,365.25,527.5,677.5,1181.0
206,141.csv,674.5431372925095,522.0,188.85011732782627,10.0,600.0,614.0,785.55,2300.0
207,13192.csv,1377.7217838666668,3.0,67.79092373439552,1338.5826758,1338.5826758,1338.5826758,1397.2913379000001,1456.0
208,8397.csv,1538.568403749,26.0,1239.0937869660524,200.0,795.8011805,1464.999999286,1974.99999847,6699.999993166
209,11785.csv,517.6770546565001,20.0,209.24351162373014,196.8503935,377.95275552,472.4409444,629.9212592,905.5118101
210,169.csv,629.2,15.0,60.46392076507869,600.0,600.0,600.0,600.0,750.0
211,6392.csv,543.46425184,5.0,438.7575035404121,100.0,100.0,629.9212592,787.4,1100.0
212,5843.csv,12638.593858102342,50.0,8996.193510905261,906.0,9487.5,12000.0,14400.0,38400.0
213,4585.csv,1574.803148,1.0,,1574.803148,1574.803148,1574.803148,1574.803148,1574.803148
214,11975.csv,1711.7333333333333,6.0,2854.7723207495665,31.496,271.4545,804.5,992.9985,7480.3
215,2692.csv,39.3700787,1.0,,39.3700787,39.3700787,39.3700787,39.3700787,39.3700787
216,97.csv,580.2496757748249,3701.0,156.5964702751792,3.937,525.0,598.424,600.0,5600.0
217,7932.csv,878.5611269210527,19.0,327.28271105943463,315.0,634.5,820.0,1115.0,1496.0629906
218,83.csv,660.158871855174,2133.0,176.5725494349376,15.748,598.424,600.0,732.282,2000.0
219,7926.csv,1612.7,10.0,1042.6651800927168,587.0,732.5,1170.0,2375.0,3600.0
220,2686.csv,431.4314698749017,183.0,367.95109659391346,39.3700787,354.3307083,354.3307083,354.3307083,4251.96
221,3598.csv,918.6540064558212,61.0,314.821339889234,39.3700787,800.0,998.425195832,1141.7322823,1535.43
222,5857.csv,800.0,1.0,,800.0,800.0,800.0,800.0,800.0
223,4591.csv,3885.3543302,3.0,5439.134473667783,511.8110231,748.0314953,984.2519675,5572.12598375,10160.0
224,11961.csv,3271.881897964667,12.0,1407.0091440799363,708.6614166,2874.9999993625,3391.3385808499997,3961.4115,6000.0
225,6386.csv,638.1273306857141,7.0,235.65268259806368,157.4803148,574.0,787.4,787.4,799.211
226,7098.csv,343.74919644999994,30.0,392.1474846569641,88.0,124.26162500000001,200.0,311.25,2000.0
227,8340.csv,1841.3602361,8.0,549.4266662440394,944.8818888,1430.0,1905.5,2306.25,2480.0
228,7073.csv,298.78986054071214,305.0,415.277518303557,100.0,100.0,100.0,100.0,2250.0
229,1402.csv,1264.8946443565217,23.0,313.5386358300033,393.700787,1225.0,1300.0,1318.75,2000.0
230,196.csv,973.9044,5.0,255.5428022744918,551.18,950.0,1027.557,1140.0,1200.785
231,13145.csv,996.8503935,2.0,852.9823536522955,393.700787,695.27559025,996.8503935,1298.42519675,1600.0
232,5664.csv,1550.0,3.0,1789.553016817328,300.0,525.0,750.0,2175.0,3600.0
233,11752.csv,200.0,1.0,,200.0,200.0,200.0,200.0,200.0
234,3215.csv,925.19684945,2.0,417.5827443692708,629.9212592,777.559054325,925.19684945,1072.834644575,1220.4724397
235,11034.csv,1304.3573333333334,15.0,1081.685053657795,300.0,787.5,1100.0,1250.0,4800.0
236,3573.csv,1366.2204722,5.0,759.4504595391151,236.2204722,944.8818888,1700.0,1975.0,1975.0
237,5102.csv,100.0,1.0,,100.0,100.0,100.0,100.0,100.0
238,9738.csv,862.5503060555556,9.0,359.1203943733264,475.0,600.0,720.0,1140.0,1580.0
239,68.csv,711.1219015784378,322.0,164.04207429370553,39.37,614.0,730.0,800.0,1287.399
240,1364.csv,732.77559025,2.0,201.13568916895827,590.5511805,661.663385375,732.77559025,803.887795125,875.0
241,828.csv,607.2166,15.0,245.83807701086502,492.125,500.0,500.0,550.0,1220.0
242,7715.csv,808.5192909043999,20.0,860.42223501403,9.448818888,196.8503935,787.401574,787.401574,3937.0
243,1370.csv,387.1391072166666,3.0,302.62080172807754,39.3700787,285.433070575,531.49606245,561.023621475,590.5511805
244,12529.csv,708.66,1.0,,708.66,708.66,708.66,708.66,708.66
245,8432.csv,697.7048141285715,21.0,388.29476776166865,39.37,551.1811018,663.0,663.0,1692.9133841
246,7701.csv,606.0948583139411,17.0,264.981924436979,334.64566895,472.4409444,472.4409444,708.6614166,1475.0
247,4208.csv,1830.954724390625,16.0,1096.2090540428496,98.42519675,800.0,2000.0,2750.0,3200.0
248,11020.csv,2398.5,12.0,431.349994994573,1494.0,2275.0,2356.0,2525.0,3300.0
249,3567.csv,389.94173208000007,15.0,226.0736324637211,39.0,236.2204722,400.0,500.0,787.401574
250,2679.csv,430.5336831111111,9.0,553.4967913921655,39.3700787,39.3700787,118.1102361,1000.0,1300.0
251,5116.csv,581.7333333333333,30.0,344.56999022102826,37.0,351.0,506.5,723.75,1550.0
252,5670.csv,1161.41732165,2.0,306.22734587079873,944.8818888,1053.149605225,1161.41732165,1269.685038075,1377.9527545
253,10458.csv,1099.35433054,5.0,467.6407930567626,826.7716527,880.0,880.0,980.0,1930.0
254,11746.csv,125.0,1.0,,125.0,125.0,125.0,125.0,125.0
255,3201.csv,1338.5826758,1.0,,1338.5826758,1338.5826758,1338.5826758,1338.5826758,1338.5826758
256,8354.csv,3224.7631581052633,38.0,1320.9866382234075,1319.0,1822.5,3600.0,4207.5,5300.0
257,7067.csv,522.0349621432767,177.0,353.1874566674541,25.0,314.96,590.5511805,590.5511805,3000.0
258,182.csv,706.4,5.0,280.3654757633329,500.0,600.0,600.0,632.0,1200.0
259,1416.csv,708.6481434732268,781.0,983.6439525684546,1.0,325.0,450.0,826.7716527,11259.8425082
260,13151.csv,196.85,2.0,55.677587950628755,157.48,177.165,196.85,216.535,236.22
261,6379.csv,837.5484977884583,48.0,290.147716273616,78.7401574,787.4,866.1408657,965.549734005,1800.0
262,5658.csv,900.0,3.0,444.40972086577943,550.0,650.0,750.0,1075.0,1400.0
263,2137.csv,880.9249830830507,59.0,631.9172817806137,276.0,590.5511805,590.5511805,793.700787,3110.2362173
264,10470.csv,2893.695,1.0,,2893.695,2893.695,2893.695,2893.695,2893.695
265,3229.csv,944.8818888,1.0,,944.8818888,944.8818888,944.8818888,944.8818888,944.8818888
266,6.csv,2301.6055246993506,14628.0,31481.360507821417,1.0,580.0,625.0,1570.0,3600000.0
267,5880.csv,1449.0,1.0,,1449.0,1449.0,1449.0,1449.0,1449.0
268,4546.csv,433.3333333333333,3.0,57.735026918962575,400.0,400.0,400.0,450.0,500.0
269,12267.csv,670.0286666666667,12.0,90.84228155868762,600.0,610.0,614.172,710.75,850.0
270,6351.csv,1082.6760624499998,4.0,22.72905328640856,1062.9921249,1062.9921249,1082.6760624499998,1102.36,1102.36
